Titre,Note,Avis,Auteur,Entreprise
Lancez-vous !,5,"Élève de la promotion Data Scientist (Octobre 2022) en formation continue, j'ai pu soutenir mon projet en Juillet dernier sur le passionnant sujet de la reconnaissance visuelle par ordinateur (Computer Vision). Le parcours de formation DataScientest est soutenu, intense et exige de l'apprenant une certaine discipline. L'issue est à la hauteur de l'engagement exigé. Je suis aujourd'hui plus à l'aise avec les soubassements théoriques et pratiques à l'œuvre dans le domaine de l'intelligence artificielle même si la formation n'épuise pas l'étendue de cette discipline en évolution constante. Je suis également reconnaissant pour la qualité de l'encadrement des élèves dans les groupes de projet et salue Gaspard pour sa disponibilité ainsi que les nombreux conseils prodigués au cours de l'année. DataScientest a également débloqué des cours optionnels qui ne figuraient pas dans le parcours tel que défini initialement et j'ai ainsi pu me familiariser avec des sujets comme la segmentation d'image, la librairie Plotly etc...Je recommande vivement la formation mais j'invite néanmoins les futurs candidats à bien mesurer leur niveau initial et leur capacité à maintenir un rythme de travail régulier. Il ne s'agit pas de MOOC d'initiation ou de vidéos de vulgarisation, mais bien d'une formation à part entière qui exigera de sacrifier une partie non négligeable de votre temps.",Rachid Fetouchi,www.datascientest.com
Très bonne expérience pour un mise à…,5,Très bonne expérience pour une mise à niveau sur les technologies indispensables en entreprise.,Lucas,www.datascientest.com
Excellente,5,Excellente formation ! Contenue pédagogique particulièrement qualitatif. De même pour l'accompagnement des enseignants qui ont été présents à chaque étapes cruciales. Je la recommande grandement !,Ryan.O,www.datascientest.com
Je suis extrêmement reconnaissante,5,"Je suis extrêmement reconnaissante. L'organisme de formation que je recommande vivement est Datascientest. J'ai eu la chance de suivre plusieurs formations au sein de cet organisme et j'ai été impressionné par la qualité des enseignements et l'expertise des formateurs.Lors de ma première formation en data manager, j'ai été immergé dans un environnement d'apprentissage dynamique et stimulant. Les formateurs nous ont fait découvrir les dernières tendances en matière de gestion et d'analyse de données. J'ai appris à utiliser des outils et des méthodes avancées pour gérer les données de manière intelligente et efficace.Le parcours de formation a été très complet et m'a permis d'acquérir les compétences nécessaires pour garantir l'accessibilité et la réutilisabilité des données. J'ai également appris à assurer la qualité des données et à m'assurer de leur conformité aux lois en vigueur, telles que le RGPD. Les formateurs étaient toujours disponibles pour répondre à nos questions et nous guider dans nos projets.Actuellement, je suis en plein parcours de formation en data analyst et je suis convaincu que cette formation me permettra d'approfondir mes connaissances et compétences dans l'analyse de données. Je suis également convaincu que l'organisme de formation Datascientest est le meilleur choix pour cette formation, car ils ont déjà démontré leur expertise et leur engagement envers leurs apprenants.Pour la suite de mon parcours, je compte enchaîner avec la formation data scientist proposée par Datascientest. Je suis sûr que cette formation me permettra d'acquérir les compétences avancées nécessaires pour résoudre des problèmes complexes métiers en entreprise.En conclusion, je recommande vivement Datascientest pour leur expertise, leur engagement envers leurs apprenants et la qualité de leurs formations. Ils m'ont accompagné tout au long de mon cursus et je suis sûr qu'ils continueront à me soutenir dans l'atteinte de mes objectifs professionnels.",Ouada,www.datascientest.com
fière de mon parcours n'ayant aucun prérequis,5,"n'ayant aucun prérequis, j'ai pu obtenir mon diplôme de Data Analyst avec l'accompagnement des enseignants et de la plateforme mise à la disposition.",esther NGO,www.datascientest.com
Une excellente formation et une magnifique expérience !,5,"Excellente formation. J’ai suivi le cursus Data Scientist d’octobre 2022 à juillet 2023, en formation continue, que j'ai pu financer par mon CPF.	La formation s'organise en sprints composés de plusieurs modules de cours / exercices dirigés, à valider, suivis d’un test en ligne, chronométré et corrigé individuellement. Pour quelqu’un ayant peu ou pas d’expérience en programmation, le début peut être ardu. Le rythme est soutenu tout au long du cursus (mais certes pas autant que dans le format Bootcamp ! Le format formation continue est à mon avis bien adapté pour quelqu’un qui n’a pas déjà de bonnes bases en langage python). Les masterclass permettent d’aborder ou d’élargir certains sujets (interprétabilité, transformers par exemple). J’ai été impressionné par la compétence des enseignants.Le programme adresse très largement les techniques de préparation et de visualisation des données, les outils de manipulation des données (pandas, SQL, Spark), les différents modèles de Machine Learning, les techniques d’évaluation et l’explicabilité des modèles. L’accent est mis sur la pratique : exercices de codage en python et utilisation des bibliothèques open-source du Machine Learning sont omniprésents.Le projet fil rouge est un excellent moyen de mettre en pratique de manière concrète et visible toutes les étapes d’un projet typique en Data Science, en équipe de 2 à 4 personnes, au fur et à mesure de l’avancement de la formation (guidé par un mentor qui suggère des pistes). Il est donné le choix du projet, on peut également proposer son propre sujet avec ses propres données. Projet assorti d’un rapport et d’une soutenance en public pour couronner le tout. En particulier le projet permet d’acquérir la maîtrise des environnements virtuels sous Anaconda, de Github ainsi que de Streamlit qui constitue un excellent outil de prototypage et de présentation. La maîtrise de ces deux derniers points en particulier est très appréciée en entreprise ! Le cursus en formation continue permet d’adapter son rythme de travail (prendre de l’avance est possible, au-delà des 17 modules obligatoires il y a de nombreux modules optionnels).Outre les nombreux outils et ressources, l’animation de la formation est étoffée (événements, support technique et encadrement de qualité) ce qui rend le temps de formation très dynamique. Par cette formation j'ai la sensation d'avoir acquis les bonnes bases et développé de bons réflexes. Elle m’a également permis de mesurer l’ampleur et la richesse de l’inépuisable corpus open-source que la communauté de l’IA (scientifiques, compagnies telles que Google, Meta, HuggingFace) met à disposition, ce qui fait que s’engager dans ce domaine c’est rentrer dans une démarche d’apprentissage continu.Cerise sur le gâteau, cette formation m’a permis de passer gratuitement et avec succès la certification Amazon Web Services Cloud Practitioner, bon point d’entrée vers la mise en œuvre dans un écosystème de production (voie que je vais approfondir). Compléter cette formation par un parcours DevOps me paraît une bonne approche. En résumé, une excellente expérience !",Jean-Pierre Cadic,www.datascientest.com
Très bonne formation avec du bon…,5,Très bonne formation avec du bon contenu un bon rythme et des profs jeunes et dynamiques. Je recommande.,Mohamed BACHKAT,www.datascientest.com
Bravo aux associés et à toute l'équipe…,5,"Bravo aux associés et à toute l'équipe de DataScientest pour tant d'expertise dans la data, tant de pédagogie, une telle qualité des formations délivrées à distance avec notamment des notebooks très bien conçus, des Masterclass très ciblées sur les points essentiels de la data, sur l'organisation, l'accompagnement aussi bien par les équipes experts en data, mais aussi par l'équipe incontournable de Career Management très compétente et dirigée / animée par Estelle Molto, expliquant la raison d'un tel succès et d'une telle reconnaissance européenne, confirmée par un nombre très important d'alumnis.",Jean-Paul Mariton,www.datascientest.com
Formation de qualité permettant d'avoir…,5,Formation de qualité permettant d'avoir les clés pour débuter en Data Science !,Ben,www.datascientest.com
Très bonne Formation qui nécessite un…,5,Très bonne Formation qui nécessite un engagement et un travail personnel important. Grande qualité des supports et intervenants.,THIERRY FERRAND,www.datascientest.com
Tres bonne formation,5,"Tres bonne formation, formateur a l'ecoute.Tres complet",Mathieu Gilbert,www.datascientest.com
Formateur au top !…,5,"Formation de qualité, 100% en ligne, je recommande fortement, formateur au top !",ilyka FOUNSIE,www.datascientest.com
Globalement satisfait,4,Globalement satisfait Dommage qu’on voit pas le low code et le sas,Renaud T.,www.datascientest.com
Cours complet d'un point de vue…,4,"Cours complet d'un point de vue pratique, très simplifié d'un point de vue théorique.",Thomas Pagesy,www.datascientest.com
J'ai suivi le cursus Data Analyst de DataScientest en 2023,5,"La formation s'organise en une série de Sprints (blocs de cours) composés de plusieurs modules de cours à valider + 1 ou plusieurs tests chronométrés en ligne, corrigés individuellement. Le rythme est assez intense et soutenu.   C’est une formation que je recommande à tout aspirant professionnel de la Data, même débutant, du fait de la diversité des modules, allant de contenus généralistes, avec des rappels de bases (qui permettent aux débutants de se mettre à niveau) jusqu’à des contenus beaucoup plus techniques voire très spécifiques, selon son niveau, ses capacités et son rythme d’acquisition. Le projet fil rouge est un excellent moyen de mettre en pratique de manière concrète et visible les acquisitions au fur et à mesure de la formation. Tout en fournissant l’occasion de travailler en équipe (avec un/e mentor(e)) autour d’une problématique commune, excellent exercice préparatoire ! De même que la soutenance en public en fin de parcours … En ce qui me concerne, j’ai choisi la formation continue, bien qu’étant en recherche d’emploi/reconversion professionnelle car cela m’a paru plus confortable que le Bootcamp pour profiter pleinement de la formation, intégrer tranquillement toutes les nombreuses notions à maîtriser et effectuer des recherches et des entraînements parallèlement, ce qui peut s'avérer indispensable pour boucler un Sprint, réussir un test ou avancer dans son projet.La possibilité de choisir son rythme de travail sur les temps asynchrones est un vrai confort qui m’a personnellement beaucoup aidée à gérer les moments de pression ou de tensions, lors de passages de tests importants, à l’approche des différentes deadlines du cursus/projet … Enfin les nombreux outils, ressources, évènements, supports techniques et l’encadrement de qualité concourent à soutenir les apprenants dans leur apprentissage et animer le temps de la formation de manière dynamique. J'ai vraiment le sentiment d'avoir acquis les bonnes bases, développé les bons réflexes et une bonne base de culture Data (avec de bonnes ressources pour une veille informationnelle de qualité). Le plus difficile selon moi reste l'étape d'après : se confronter à la réalité et mettre en pratique professionnellement, surtout si l'on est à l'origine un peu éloigné(e) de ce type de poste !",Viviane Bordin,www.datascientest.com
Une erreur que je ne referai pas.,1,"Je n'ai pas l'habitude de poster des avis sur Internet, mais pour une fois je me dois de le faire, car je suis très déçue de la qualité de la formation vis-à-vis des coûts engagés (et des promesses faites, évidemment). Aussi, je suis assez surprise du nombre très élevé d'avis très positifs par rapport à cet organisme et à leurs formations.J'ai suivi une formation de 6 mois auprès de DataScientest.Voici les choses, tant positives que négatives, que j'ai à partager :- Ce n'est pas un secret et c'est logique vu le business de la formation en France : la formation est onéreuse.- De nombreuses promotions/publicités sont faites durant la formation, le but étant que vous enchaîniez les formations auprès de leur organisme. J'avais simplement la volonté d'être considérée comme une apprenante, j'ai davantage été considérée comme une cliente et prospecte, et j'ai personnellement trouvé cela désagréable (par exemple booker 1 heure de mon temps pour un point inter-formations (sur le papier c'est cool de tous se réunir et de se motiver), qui s'avère être en réalité un prétexte pour réunir tout le monde et faire une promotion sur d'autres formations).- Sur la plateforme d'apprentissage en ligne, la présentation des cours laisse beaucoup à désirer : des pavés de texte peu mis en forme, parfois des vidéos (rare) mais avec de la musique en fond, des cours/exercices/examens qui peuvent être bugués, des fautes d'orthographe, un manque de cohérence entre les fichiers donnés pour les exercices et les questions des exercices.- Pour le fond des cours et exercices, les thématiques et points abordés m'ont semblé pertinents, mais globalement le fond ne m'a pas semblé très développé : les points essentiels sont balancés en vrac sans être réellement poussés. Si vous souhaitez comprendre le ""pourquoi"" et pas juste le ""comment"", il vous faudra très certainement faire vos propres recherches en parallèle pour compléter les cours.- Les masterclasses auxquelles j'ai assistées n'ont apporté aucune plus-value par rapport à la plateforme d'e-learning. Le professionnalisme des intervenants rencontrés m'a aussi semblé très questionnable : les réponses apportées par les intervenants aux questions posées semblent hasardeuses, il n'y a quasiment pas d'approfondissement des cours (il s'agit simplement d'une redite des cours présents sur la plateforme), les 2 heures promises de masterclass se transforment systématiquement en 1 heure 15-30... J'ai globalement eu l'impression que les intervenants (3 intervenants différents rencontrés) étaient là pour balancer leurs informations rapidement afin d'en avoir terminé, sans réelle volonté de partage.- Il y a un projet de fin d'études, ce qui est bienvenu. L'organisation laisse malgré tout un peu à désirer (les intervenants qui oublient le point de mi-projet... j'imagine que ça arrive à tout le monde, mais simplement pas professionnel).- Je ne sais pas si c'est habituel, mais la formation s'est terminée pour notre cohorte sans réunion de clôture/au revoir. Le projet a été fait, et ensuite, plus aucun message sur le groupe Slack, aucun point organisé, rien. Vraiment bizarre.- Personnellement je n'en ai pas souffert, mais l'organisme appuie beaucoup sur le rythme soutenu. J'imagine que si vous n'avez aucune notion dans le domaine que vous souhaitez apprendre, alors vous pourriez effectivement rencontrer des difficultés.- Attention si vous êtes en reconversion : DataScientest a évidemment un discours très positif par rapport à cela, mais de mon expérience (de ce que j'ai pu voir dans les différentes entreprises dans lesquelles j'ai pu travailler), les personnes reconverties ne sont pas sur le dessus du panier. En revanche je ne vous dirai jamais de ne pas suivre vos rêves ni vos envies : simplement, ce n'est pas parce que vous engagez plusieurs milliers d'euros que ce que vous apprendrez sera plus intéressant/complet/formateur/professionnalisant.Si vous avez déjà un petit bagage ou bien que vous êtes débrouillard, vous pourrez tout à fait trouver nombre de ressources gratuites (YouTube, MOOC...) bien plus intéressantes et complètes que les cours dispensés par DataScientest.J'ai essayé d'être la plus transparente et factuelle possible, en espérant que cela puisse permettre à d'autres personnes qui hésiteraient à se lancer de raisonner un peu plus que ce j'ai pu le faire il y a quelques mois.",Nelly,www.datascientest.com
Très bonne qualité de formation,5,"Très bonne qualité de formation, je la recommande sans hésitation.Bravo à l'équipe pédagogique.",Mohamed Haijoubi,www.datascientest.com
Excellente formation entièrement en…,5,"Excellente formation entièrement en ligne, le formateur connaît parfaitement le sujet, je la recommande vivement à 100%.",Kadi Conde,www.datascientest.com
Je suis très satisfait de la formation…,4,Je suis très satisfait de la formation et de la méthodologie d'apprentissage en campus inversé.,ousmane diallo,www.datascientest.com
Une formation de grande qualité!,5,Pas de texte d'avis,Virginie Bouland,www.datascientest.com
Bonne dynamique des cours,4,Pas de texte d'avis,Mathieu,www.datascientest.com
Très bien,5,Très bienet Très sérieux,Thomas Fourtouill,www.datascientest.com
Formation exigeante et donc valorisante,5,Pas de texte d'avis,Jean-Laurent Ducoin,www.datascientest.com
AWS Cloud Architect,5,Formateur très expérimenté et contenu très intéressant.,Bamby S.,www.datascientest.com
Formation super,5,"Formation super, je recommande",Rachid,www.datascientest.com
Formation Data Analyst Bootcamp (9 semaines),5,"Si vous souhaitez acquérir des connaissances théoriques avec une mise en pratique immédiate au travers d'un cursus intense intellectuellement, la formation de Data Analyst en bootcamp chez DataScientest est une formation parfaite. Savoir gérer son temps et son acquisition de connaissances en mode intensif sont nécessaires mais cela en vaut la peine. Merci à tous les intervenants DataScientest pour cette formation de Data Analyst.",Julien ROYET,www.datascientest.com
J'ai réalisé la formation Data…,5,"J'ai réalisé la formation Data Scientist en format bootcamp, je suis très satisfaite de cette formation. Le contenu est riche et de qualité, je suis étonnée (et contente) de toutes les compétences que je maitrise aujourd'hui dans le domaine de la data. Durant toute cette formation je ne me suis pas sentie livrée à moi même, au contraire nous sommes très bien encadrés et nous partageons une vrai communauté avec nos collègues de promotion. J'ai également beaucoup apprécié les évènements organisés en parallèle auxquelles j'ai presque toujours participé (Webinar, ateliers, ...). C'est une formation riche en contenu mais qui propose également pleins d'à-côtés qui sont un vrai plus!",Combettes Ségolène,www.datascientest.com
bootcamp Data Engineer avec DataScientest,5,"Je conseille cette formation Data Engineer qui est très technique et très complète (contrairement à d'autres formations que j'avais pu consulter qui était en cours distanciels ou présentiels). Ce format en e-learning peut en rebuter certains mais en fait cela permet en fait de pouvoir découvrir énormément de choses en suivant les modules à son rythme (modules obligatoires + modules optionnels). Si vous voulez vous lancer dans la Data, foncez mais préparez-vous à être bien accroché pendant ces 3 mois intensifs.",Client,www.datascientest.com
Sacrée aventure!,5,Une aventure très intense à vivre en étroite collaboration avec Daniel et ses collègues de projet lors de cette formation Data Analyst! Encore Merci à Daniel,OBAME OBAME,www.datascientest.com
Formation à haute valeur ajoutée,5,"J'ai suivi la formation Data Scientist. Je suis très heureux d'avoir suivi cette formation à haute valeur ajoutée permettant d'aborder un large ensemble de techniques et applications avancées du machine learning et de la data science, et de les appliquer immédiatement sur un projet personnel passionnant. L'équipe pédagogique autant qu'administrative et accompagnement carrière sont très compétentes, constituées de personnes sympathiques et réactives avec lesquelles il a été agréable de travailler. Si vous suivez la formation comme moi en format Bootcamp de trois mois, soyez prêt à un rythme soutenu car le programme est chargé, ceci ayant été pour moi finalement très stimulant.",Arthur Geffroy,www.datascientest.com
Une formation intensive pour un maximum de plaisirs en Data Science !,5,"J'ai suivi la formation Data Scientist. Si vous choisissez la formation intensive, il faut s’accrocher dès le début car si vous n’aviez jamais ou très peu programmé en Python, vous aurez beaucoup à apprendre en très peu de temps donc c’est une bonne habitude à avoir. Il faut prendre son temps de bien comprendre les cours mais il ne faut pas hésiter à chercher d’autres ressources sur Google ou demander à votre chef de cohorte qui peut également vous aider. Je suis agréablement surpris par le contenu de cette formation. Le projet fil rouge est la partie pratique de cette formation qui prend énormément de temps et qui est la plus intéressante et importante de la formation tant au niveau de l’apprentissage mais aussi au niveau des retours que vous pouvez en tirer en le partageant.",Kévin PAME,www.datascientest.com
très bien,5,"le format de 11 semaines est un format dense qui est rythmé par les sprints hebdomadaires.Le contenu est bien pensé et on se voie progresser car l'apprentissage se fait sur des notebook en codant.L'apport du projet fil rouge permet de travailler en équipe sur un projet data et du coup on met en pratique avec des pairs, c'est très enrichissant.Et pour le petit plus, la formation délivre une certification.",matthieu chauchard,www.datascientest.com
De véritables compétences dans la Data Science,5,"La Data Science ou la science des données est la discipline qui permet à une entreprise d’explorer et d’analyser les données brutes pour les transformer en informations précieuses permettant de résoudre les problèmes de l’entreprise.La formation dispensée par Datascientest aborde ce vaste sujet avec beaucoup de pédagogie et avec professionnalisme. Progressivement mais surement les concepts sont abordés, les différents savoirs se rejoignent et la compétence est acquise. Le projet consolide le tout et donne un sens pratique aux nouvelles connaissances. Enfin et après avoir réussi les étapes de la formation et la soutenance finale, la Certification de Data scientist de l'Université Paris Sorbonne vient récompenser les efforts et valider cette nouvelle compétence professionnelle.",MisterNono,www.datascientest.com
Très bonne formation,5,"La formation Data Scientist proposée par DataScientest est très complète, et est régulièrement mise à jour en fonction des nombreuses évolutions et nouveautés dans le domaine. L'information est transmise de telle sorte qu'on la met en application de suite, permettant d'appréhender facilement les différents concepts abordés. On est également au bénéfice d’une équipe encadrante compétente qui nous suit et répond à nos questions.",CR,www.datascientest.com
Excellente formation,5,"Excellente formation. J'ai débuté le formation en ayant aucune connaissance ni en python ni en datascience. Le programme pédagogique est très bien articulé, le support Daniel, ainsi que tout le personnel pédagogique est toujours disponible pour nous aider et nous débloquer. Les cours en ligne sont excellents et donne la possibilité d'apprendre seul chez soi. Le projet fil rouge permet de mettre en pratique dans la foulée les connaissance théoriques ce qui donne une idée concrète de la data science dans la vie réelle. Je suis très content de la formation et je la recommande",Selva CLEBER,www.datascientest.com
Epanouissant,5,Formation intéressante et complète qui touche à une grande partie des outils liés à l'analyse de donnée. J'ai apprécié les applications concrètes du cours qui nous projettent rapidement sur les enjeux du métier. Cela a confirmé mon attrait pour ce milieu et mon désir de reconversion.,Spilliaert Robin,www.datascientest.com
Bootcamp Datascientest,5,"J'ai rejoins la session de Novembre du bootcamp pour devenir Data Scientist de la formation Datascientest. Il y a un groupe de discussion slack pour chaque session qui permet au groupe d'être tenu au courant des prochaines masterclass, des modules qu'il faut valider , et de poser des questions de codes qui permettent d'enrichir les connaissances en programmation. Les modules sont très pédagogiques. En effet ils s'organisent sous la forme de notebook interractif avec du cours qui permettent de progresser sur la partie pratique et sur la partie théorique. Il y aussi des ateliers CV , lettre de motivation et entretiens qui permettent de mieux s'armer pour le marché du travail. J'ai pu décrocher un CDI en tant que Data Scientist junior chez Eiffage suite à cette formation. Je conseille à tout le monde cette formation. En effet les besoins de Data Scientist , Data Analyst et Data Ingeneer vont en grandissant et les entreprises cherchent des personnes opérationnelles qui vont pouvoir répondre aux enjeux de demain.",Elie Pariente,www.datascientest.com
Je recommande vivement !,5,"DataScientest est un organisme que j’ai premièrement rencontré lors de session de job dating. Séduite par le caractère très humain et professionnel de l’équipe lors des séances de coaching, et ayant vu que leur programme du parcours Data Scientist matchait mes attentes pour monter en compétences sur ce poste en entreprise, j’ai décidé de faire leur bootcamp de septembre 2020. La qualité du contenu des cours, les différents cas étudiés lors des master classes et examens, le suivi et la disponibilité de l’équipe pédagogique n’ont fait que confirmer pour mon enthousiasme de départ pour DataScientest. Je recommande vivement !",Nina,www.datascientest.com
DataScientest *****,5,DataScientest est une expérience d'apprentissage phénoménale du début à la fin. La plateforme est un outil de qualité et le contenu de très haut niveau. Toutes les thématiques sont expliquées avec clarté et avec des mises en situations en cohérence avec la réalité de l’entreprise. Je conseille sans hésitations !,DG,www.datascientest.com
Toujours intéressé par le big data…,5,"Toujours intéressé par le big data ,j'ai décidé de suivre la formation datascientist suite à mes etudes d'ingénieur . J'ai beaucoup aimé le coté formation orientée métier de la formation et non pas formation académique comme une école .On a l'impression d'aller systématiquement a l'essentiel et de ne pas perdre son temps . Cela est très agréable. Le support est très efficace et le projet est vraiment fouillé et permet d'aller réellement en profondeur",eden k,www.datascientest.com
Un parcours idéal pour l'acquisition des compétences DataScience,5,"La formation DataScientest est très bien pensée pour donner l'ensemble des outils nécessaires pour un Data Scientist :- Un parcours pédagogique abordant les thématiques avec une complexité croissante (en allant de la régression logistique jusqu'aux réseaux de couronnes) ; - Une alternance entre théorie et pratique facilité par l'usage de Jupyter Notebook ; - Des tests à la fin de chaque chapitre afin d'assurer la bonne acquisition de la compétence. Au-delà du parcours pédagogique, l'accompagnement et la disponibilité de l'équipe DataScientest permettent de facilité l'apprentissage, on ne se sent jamais bloqué. En termes de compétence et professionnalisme de l'équipe, aucun reproche ne peut leur être porté. Les membres de cette jeune équipe sont des experts dans leurs domaines. Pour toutes les personnes aspirant à devenir un Data Scientist ou souhaitant se remettre dans le bain et mettre à jour leurs connaissances, je ne peux que vous recommander la formation proposée par DataScientest.",Radouane,www.datascientest.com
Plateforme ludique et auto-formation de qualité,5,"DataScientest est une plateforme très ludique et pédagogique. Ce dispositif est un excellent moyen pour s’auto-former sur Python pour la data-science.La qualité et du support de formation et des exercices proposés permet d’acquérir les compétences visées. Il faut également s’armer de motivation et d’autodiscipline.Cette formation, ce fut pour moi une expérience très agréable et très bénéfique.",Driss MOUNIR,www.datascientest.com
Excellente formation en data…,5,"Excellente formation en data engineering.Le choix du e-learning est ici un vrai plus, grâce à l'équipe de DataScientest qui est très présente et très réactive et qui fait un véritable accompagnement de ses stagiaires. La plateforme de formation est disponible 7j/7, 24h/24, ce qui permet de voir plus en détail les points sur lesquels on peut avoir des problèmes ou que l'on souhaite approfondir. Le périmètre de la formation étant très large, la disponibilité de la plateforme est très appréciable.Slack permet de garder le contact avec les autres participants et avec l'équipe de DataScientest.",Gabriella F,www.datascientest.com
Une auto-formation au top !,5,"Pédagogique, ludique, la formation nous force à repousser nos limites. L'équilibre entre quantité et difficulté est maîtrisé, donnant envie de s'investir sans avoir peur d'être découragé.Depuis la formation, je passe la moitié de mon temps de travail à retranscrire mes modèles sur Python !",Nicolas,www.datascientest.com
Plateforme Très bien concue,5,"Je ne vois presque aucun défaut à la plateforme proposée. Simple, efficace ce notebook est très bien conçu. Seul bémol, la plateforme ne fonctionne pas sur tous les navigateurs notamment sur chrome si vous exécutez un code amenant à une erreur. Exemple : exécution d'un module d'un package non importé alors cela ferme et bloque l'exercice proposé. Après avoir parlé du contenant, en ce qui concerne le contenu là encore c'est bien écrit de manière à ce que n'importe qui le comprenne et c'est peut-être là le seul souci. En effet une des phrases de la formation était ""l'utilisation de techniques de machine Learning ne nécessite pas la connaissance théorique des modèles"" ou quelque chose du genre (lors du dernier ou avant dernier exercice). Effectivement c'est vrai. Seulement comment une personne peut elle maitriser les paramètres et hyper paramètres d'un réseau de neurones par exemple si elle ne sait pas comment fonctionne l'algorithme de rétropropagation du gradient ? ou pour prendre l'exemple de la formation on utilise un knn mais la plupart d'utilisateurs ne savent même pas ce que signifie le nombre de voisins en paramètre ou par exemple le choix de prendre la distance euclidienne qui n'est pas forcément la plus adaptée (distance d'hamming pour une problématique de classification de texte). Je n'ai eu affaire qu'a une introduction dans le cadre d'un test d'entreprise, peut être que ce commentaire n'est pas valide pour le reste de la formation. Pour obtenir quelque chose d'exhaustif l'accent devrait être mis davantage sur l'aspect théorique ou à minima, expliquer les différents paramètres d'un modèle. Cela peut etre long et fastidieux donc a ce moment mettre des liens faisant référence à une explication mathématique plus exhaustive. Cela peut diminuer l'effet de boite noire que l'on retrouve souvent dans ces modèles.",Thibault M,www.datascientest.com
DataScientest est une plateforme très…,5,DataScientest est une plateforme très prometteuse. C'est un excellent dispositif d'auto-apprentissage... cohérent et convivial. La progressivité est bonne et le crantage des compétences bien construit. Il suppose une autodiscipline et une motivation forte pour s'inscrire dans un développement de ses compétences avec au bout une certification à la clef.,Johny Marcel,www.datascientest.com
Excellent,5,"Les cours sont clairs et agréables à lire, et les mises en pratique permettent de bien appréhender les outils présentés. La formation permet de comprendre les enjeux (la puissance, les possibilités offertes) des technos présentées et de pouvoir ensuite les utiliser dans d'autres contextes que les jeux de données des cours ; les cours donnent également les clé pour pouvoir approfondir de son côté les notions qui m'intéressent le plus",Nicolas,www.datascientest.com
Bonne formation,5,"Avis : Les outils et l'environnement pédagogiques sont très bien réalisés,des personnes sont à disposition en cas de difficultésJ'ai beaucoup appris durant cette formation.Formation très intéressante je recommande",justine politi,www.datascientest.com
Formation de très bonne qualité,5,"Formation de très bonne qualité et très pédagogique. Mes connaissances préalables en python étaient limitées (je fais plutôt du R) mais j’ai fait un bond grâce à ces modules. Les techniques de Datascience sont bien expliquées (sans négliger les aspects méthodologiques). Les progrès que l’on fait permettent de rester motivée et donnent envie d’aller plus loin. On obtient un panorama complet en machine learning ou deep learning. Vraiment, je recommande",Marylene,www.datascientest.com
Je recommande vivement !,5,"Plateforme très bien faite. J'ai apprécié le module 101 qui commence par poser les bases et qui se finit par quelques exemples simples de modèles. Je recommande vivement la plateforme ! Côté Club Med, nous allons réfléchir à la pertinence de poursuivre notre formation sur DataScientest.",Celine David,www.datascientest.com
Expérience très positive,5,"J'ai suivi l'initiation à Python pour la datascience, la DataViz avec Matplotlib et Seaborn ainsi le machine learning - modèle et algorithmes de classification. La courbe d'apprentissage est vraiment très bien adaptée. La qualité des cours donné permet de comprendre complètement les notions abordées. Je recommande fortement cette formation.",Renaud,www.datascientest.com
Avis Rodolphe Gintz ML with Pyhton,5,"Avis : J’ai suivi les modules d’initiation à la plateforme (100), Machine learning - modèles et algorithmes de classification (121) et une partie de Machine learning - modèles avancés de classification et méthodologie (122).* Points positifsL’interface, très efficace et relativement intuitive même si elle requiert une excellente connexion webLe format des modules et leur durée (bien dimensionné)Le module de test, même si le timer est un peu stressant ; la possibilité de repasser avec 15 minutes de plus ;-)Le côté très opérationnel, appliqué de la formation ; les modules permettent très rapidement de faire du code utile.* Points négatifsLe coté théorique du ML est un peu survolé alors qu’il semble très intéressant et très puissant.Toutes les fonctions ne sont pas toujours totalement expliquées / explicitées.",Rodolphe Gintz,www.datascientest.com
Formation par la pratique aux outils de Machine Learning,5,"Très belle expérience. M'a permis d'aller droit au but parmi une multitude d'informations sur le ML qui existent un peu partout maintenant.La qualité et la concision des présentations des différentes techniques, les conseils d'utilisation sont très appréciables.Faute de temps, je n'ai malheureusement pas participé aux échanges slack, possibilité pourtant importante, je le sais, prévue dans le dispositif.Ma démarche a plutôt été de parcourir l'ensemble des modules qui m'était accessible, dans un temps qui m'a été contraint bien plus que je ne l'avais imaginé au départ (les enfants à la maison n'aiment pas les maths, ...ou alors je suis pas pédagogue), et de les réaliser dans mon propre environnement (je préfère Rstudio à Jupyter).Les questions pour moi viendront plus tard, si possible quand j'aurai vraiment le temps de les poser et surtout d'étudier les réponses.Les aspects mathématiques ne m'ont pas posé de problème. La théorie ne m'a jamais fait peur, et les outils les utilisent aujourd'hui de façon quasi transparente. Impressionnant.Merci, dataScientest",Gilles,www.datascientest.com
Une formation de qualité avec des notebooks bien conçus,5,"Les notebooks sont biens conçus et permettent de bien appréhender les interfaces des modules utilisés. nécessite de bien prendre le temps pour appréhender les notions. les évaluations sont pertinentes et le temps imparti est bien calibré : suffisant pour traiter tout le sujet, tout en exigeant d'avoir bien compris les notions vues.",Eudeline,www.datascientest.com
Incontournable !,5,"Datascientest est un prodigieux outil dont toutes les entreprises françaises devraient être dotées. La plateforme, complétée par des séances de formation ponctuelles, vous permet de former vos collaborateurs aux data sciences sans les déconcentrer de leurs tâches quotidiennes. Un grand merci aux équipes de Yoel, Charles et Benjamin pour leur professionnalisme leur écoute et leur pédagogie !",Eytan Abehsera,www.datascientest.com
